ECCS_Clone_RowId,FacilityMnem_Source,Accommodation_Mnem_Source,Accommodation_Name_Source,PA_Code_Source,Active_Source,TargetMatchMtx,DB_RecordCount,FacilityMnem_Target,Accommodation_Mnem_Target,Accommodation_Name_Target,PA_Code_Target,Active_Target,DisplayCurrentValues,ExcludeFromSharepoint,Action To Take,Update_User,Update_Datetime,System_Update_User,System_Update_Datetime,ECCS_SourceServer,ECCS_SourceDatabase,ECCS_SourceProcedure,ECCS_ScopeKind,ECCS_ScopeValue,ECCS_SourceUser,ECCS_ClonedAtUtc
1,CMCH,___N/A___20260602163331,Net New Expanse Accommodation--no MT56 data,___,N,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TR,TRAUMA,TR,Y,Y,N,None,MLT6916,34:18.1,HCA\MLT6916,33:31.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
2,CMCH,Continuing Newborn,Continuing Newborn,L2,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,L2,NEWBORN LEVEL II CARE,L2,Y,Y,N,None,IIU4396,32:24.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
3,CMCH,ERHOLD ICU,ERHOLD ICU,EI,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:24.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
4,CMCH,ERHOLD Med Surg,ERHOLD Med Surg,EM,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PR,PRIVATE ROOM,PR,Y,Y,N,None,MLT6916,27:38.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
5,CMCH,ERHOLD PCU,ERHOLD PCU,EP,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PC,PROGRESSIVE CARE,PC,Y,Y,N,None,IIU4396,32:24.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
6,CMCH,ERHOLD Telemetry,ERHOLD Telemetry,ET,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TEL,not mapped in PA,TE,Y,Y,N,None,MLT6916,27:38.7,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
7,CMCH,ICU,ICU,,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:24.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
8,CMCH,ICU Semi,ICU Semi,,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:24.8,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
9,CMCH,ICU Step Down,ICU Step Down,,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:24.9,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
10,CMCH,ICU-Daily Care,ICU-Daily Care,#N/A,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:24.9,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
11,CMCH,ICU-General with ECMO,ICU-General with ECMO,,Y,NO MATCH,0,CMCH,ECMO,ECMO,ECMO,Y,Y,N,None,IIU4396,16:09.0,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
12,CMCH,ICU-Med Surg Daily Care,ICU-Med Surg Daily Care,#N/A,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:25.0,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
13,CMCH,ICU-PCU Daily Care,ICU-PCU Daily Care,#N/A,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,32:25.0,HCA\FOB4034,00:43.1,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
