ECCS_Clone_RowId,FacilityMnem_Source,Accommodation_Mnem_Source,Accommodation_Name_Source,PA_Code_Source,Active_Source,TargetMatchMtx,DB_RecordCount,FacilityMnem_Target,Accommodation_Mnem_Target,Accommodation_Name_Target,PA_Code_Target,Active_Target,DisplayCurrentValues,ExcludeFromSharepoint,Action To Take,Update_User,Update_Datetime,System_Update_User,System_Update_Datetime,ECCS_SourceServer,ECCS_SourceDatabase,ECCS_SourceProcedure,ECCS_ScopeKind,ECCS_ScopeValue,ECCS_SourceUser,ECCS_ClonedAtUtc
1,CMCH,___N/A___20260602163331,Net New Expanse Accommodation--no MT56 data,___,N,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TR,TRAUMA,TR,Y,Y,N,None,MLT6916,2026-06-02 16:34:18.093000,HCA\MLT6916,2026-06-02 16:33:31.343000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.137000
2,CMCH,Continuing Newborn,Continuing Newborn,L2,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,L2,NEWBORN LEVEL II CARE,L2,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.657000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.137000
3,CMCH,ERHOLD ICU,ERHOLD ICU,EI,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.687000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
4,CMCH,ERHOLD Med Surg,ERHOLD Med Surg,EM,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PR,PRIVATE ROOM,PR,Y,Y,N,None,MLT6916,2026-06-02 16:27:38.677000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
5,CMCH,ERHOLD PCU,ERHOLD PCU,EP,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,PC,PROGRESSIVE CARE,PC,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.757000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
6,CMCH,ERHOLD Telemetry,ERHOLD Telemetry,ET,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,TEL,not mapped in PA,TE,Y,Y,N,None,MLT6916,2026-06-02 16:27:38.700000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
7,CMCH,ICU,ICU,,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.820000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
8,CMCH,ICU Semi,ICU Semi,,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.850000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
9,CMCH,ICU Step Down,ICU Step Down,,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.887000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
10,CMCH,ICU-Daily Care,ICU-Daily Care,#N/A,Y,"TEST (2026-09-20),ZCON (2026-09-20),LIVE (2026-09-04)",0,CMCH,IC,INTENSIVE CARE,IC,Y,Y,N,None,IIU4396,2026-05-05 10:32:24.917000,HCA\FOB4034,2026-05-01 09:00:43.100000,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,2026-09-21 01:07:43.138000
