AutoExec | Workbook_Open | Runs when the Excel Workbook is opened
Suspicious | Environ | May read system environment variables
Suspicious | Open | May open a file
Suspicious | Run | May run an executable file or a system command
Suspicious | Create | May execute file or a system command through WMI
Suspicious | Command | May run PowerShell commands
Suspicious | Call | May call a DLL using Excel 4 Macros (XLM/XLF)
Suspicious | CreateObject | May create an OLE object
Suspicious | Windows | May enumerate application windows (if combined with Shell.Application object)
Suspicious | Chr | May attempt to obfuscate specific strings (use option --deobf to deobfuscate)
Suspicious | VBProject | May attempt to modify the VBA code (self-modification)
Suspicious | VBComponents | May attempt to modify the VBA code (self-modification)
Suspicious | CodeModule | May attempt to modify the VBA code (self-modification)
Suspicious | System | May run an executable file or a system command on a Mac (if combined with libc.dylib)
Suspicious | Hex Strings | Hex-encoded strings were detected, may be used to obfuscate strings (option --decode to see all)
Suspicious | Base64 Strings | Base64-encoded strings were detected, may be used to obfuscate strings (option --decode to see all)
IOC | VBIDE.VBE | Executable file name
IOC | Application.VBE | Executable file name
IOC | scrrun.dll | Executable file name
IOC | ieframe.dll | Executable file name
IOC | dao360.dll | Executable file name
Suspicious | VBA Stomping | VBA Stomping was detected: the VBA source code and P-code are different, this may have been used to hide malicious code
